"","CNAE 2.0 Classe","Ind Atividade Ano","Ind CEI Vinculado","Ind Estab Participa PAT","Ind Rais Negativa","Ind Simples","Município","Natureza Jurídica","CNAE 2.0 Subclasse","Tamanho Estabelecimento","Tipo Estab","Tipo Estab_1","UF","IBGE Subsetor","CEP Estab","Qtd_Vinc_CLT","Qtd_Vinc_Ativos","Qtd_Vinc_Estat","CO_MUNICIPIO","SGL_UF","DS_MESORREGIAO","DS_MICRORREGIAO","NOME_MUNICIPIO","LATITUDE","LONGITUDE"
"497","31012",1,0,0,0,0,351620,2135,"3101200","02","01","Cnpj",35,"07",14400660,1,1,0,3516200,"SP","Ribeirão Preto","Franca","Franca","-20.5352","-47.4039"
"498","31012",1,0,0,0,0,351565,2305,"3101200","04","01","Cnpj",35,"07",17455000,12,12,0,3515657,"SP","Marília","Marília","Fernão","-22.3607","-49.5187"
"499","31012",1,0,0,0,0,350950,2062,"3101200","04","01","Cnpj",35,"07",13082200,13,13,0,3509502,"SP","Campinas","Campinas","Campinas","-22.9053","-47.0659"
"500","31012",1,0,0,0,0,354890,2135,"3101200","01","01","Cnpj",35,"07",13567811,0,0,0,3548906,"SP","Araraquara","São Carlos","São Carlos","-22.0174","-47.886"
"501","31012",1,0,0,0,1,354780,2062,"3101200","05","01","Cnpj",35,"07",9220570,21,21,0,3547809,"SP","Metropolitana de São Paulo","São Paulo","Santo André","-23.6737","-46.5432"
"502","31012",1,0,0,0,1,355500,2062,"3101200","02","01","Cnpj",35,"07",17607090,2,2,0,3555000,"SP","Marília","Tupã","Tupã","-21.9335","-50.5191"
"503","33295",1,0,0,0,1,352730,2305,"3329501","02","01","Cnpj",35,"07",12238320,1,1,0,3527306,"SP","Macro Metropolitana Paulista","Jundiaí","Louveira","-23.0856","-46.9484"
"504","31012",1,0,0,0,1,351960,2135,"3101200","03","01","Cnpj",35,"07",14940000,9,9,0,3519600,"SP","Araraquara","Araraquara","Ibitinga","-21.7562","-48.8319"
"505","31012",1,0,1,0,1,352050,2062,"3101200","04","01","Cnpj",35,"07",13338010,11,11,0,3520509,"SP","Campinas","Campinas","Indaiatuba","-23.0816","-47.2101"
"506","31012",1,0,0,0,1,350760,2135,"3101200","02","01","Cnpj",35,"07",12904140,2,2,0,3507605,"SP","Macro Metropolitana Paulista","Bragança Paulista","Bragança Paulista","-22.9527","-46.5419"
"507","31012",1,0,0,0,1,351740,2135,"3101200","02","01","Cnpj",35,"07",14790000,1,1,0,3517406,"SP","Ribeirão Preto","São Joaquim da Barra","Guaíra","-20.3196","-48.312"
"508","33295",1,0,0,0,1,354390,2305,"3329501","02","01","Cnpj",35,"07",13503230,2,2,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546"
"509","31012",1,0,0,0,1,352450,2062,"3101200","03","01","Cnpj",35,"07",15155000,8,8,0,3524501,"SP","São José do Rio Preto","São José do Rio Preto","Jaci","-20.8805","-49.5797"
"510","31012",1,0,0,0,1,350330,2135,"3101200","02","01","Cnpj",35,"07",13607255,1,1,0,3503307,"SP","Piracicaba","Limeira","Araras","-22.3572","-47.3842"
"511","31012",1,0,0,0,0,350760,2062,"3101200","02","01","Cnpj",35,"07",12912250,2,2,0,3507605,"SP","Macro Metropolitana Paulista","Bragança Paulista","Bragança Paulista","-22.9527","-46.5419"
"512","31012",1,0,0,0,1,354980,2062,"3101200","03","01","Cnpj",35,"07",15046770,5,5,0,3549805,"SP","São José do Rio Preto","São José do Rio Preto","São José do Rio Preto","-20.8113","-49.3758"
"513","31012",1,0,0,0,1,355030,2062,"3101200","02","01","Cnpj",35,"07",4692000,4,4,0,3550308,"SP","Metropolitana de São Paulo","São Paulo","São Paulo","-23.5329","-46.6395"
"514","31012",1,0,0,0,0,355030,2062,"3101200","01","01","Cnpj",35,"07",3253000,0,0,0,3550308,"SP","Metropolitana de São Paulo","São Paulo","São Paulo","-23.5329","-46.6395"
"515","33295",1,0,0,0,1,355030,2135,"3329501","01","01","Cnpj",35,"07",8150290,0,0,0,3550308,"SP","Metropolitana de São Paulo","São Paulo","São Paulo","-23.5329","-46.6395"
"516","31012",1,0,0,0,1,354780,2062,"3101200","02","01","Cnpj",35,"07",9170560,2,2,0,3547809,"SP","Metropolitana de São Paulo","São Paulo","Santo André","-23.6737","-46.5432"
"517","31012",1,0,0,0,0,355030,2062,"3101200","02","01","Cnpj",35,"07",3807400,1,1,0,3550308,"SP","Metropolitana de São Paulo","São Paulo","São Paulo","-23.5329","-46.6395"
"518","33295",1,0,0,0,1,350590,2135,"3329501","01","01","Cnpj",35,"07",99999999,0,0,0,3505906,"SP","Ribeirão Preto","Batatais","Batatais","-20.8929","-47.5921"
