"","CNAE 2.0 Classe","Ind Atividade Ano","Ind CEI Vinculado","Ind Estab Participa PAT","Ind Rais Negativa","Ind Simples","Município","Natureza Jurídica","CNAE 2.0 Subclasse","Tamanho Estabelecimento","Tipo Estab","Tipo Estab_1","UF","IBGE Subsetor","CEP Estab","Qtd_Vinc_CLT","Qtd_Vinc_Ativos","Qtd_Vinc_Estat","CO_MUNICIPIO","SGL_UF","DS_MESORREGIAO","DS_MICRORREGIAO","NOME_MUNICIPIO","LATITUDE","LONGITUDE","OC_estado","OC_cidade","OC_bairro","OC_cep","OC_logradouro","OC_latitude","OC_longitude","OC_altitude","OC_ddd","OC_cod_IBGE"
"59","23427",9,0,0,1,0,354670,2062,"2342701","01","01","Cnpj",35,"02",13510000,0,0,0,3546702,"SP","Piracicaba","Limeira","Santa Gertrudes","-22.4572","-47.5272","SP","Santa Gertrudes",NA,"13510000",NA,-22.4573223,-47.5325941,597.9,19,"3546702"
"60","23427",0,0,0,1,0,353870,2062,"2342701","01","01","Cnpj",35,"02",13413071,0,0,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Loteamento Distrito Industrial Uninorte","13413071","Rua Abelardo Benedicto Libório",-22.7342864,-47.6480644,530,19,"3538709"
"61","23427",0,0,0,1,0,353870,2062,"2342701","01","01","Cnpj",35,"02",13413084,0,0,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Loteamento Distrito Industrial Uninorte","13413084","Rua Doutora Maria Helena Senra da Rocha",-22.7342864,-47.6480644,530,19,"3538709"
"62","23427",1,0,0,1,1,353870,2046,"2342702","01","01","Cnpj",35,"02",13405190,0,0,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Jardim Monumento","13405190","Rua Professor Leonel Faggin",-22.7342864,-47.6480644,530,19,"3538709"
"63","23427",0,0,0,1,1,354390,2135,"2342702","01","01","Cnpj",35,"02",13500000,0,0,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","23427",9,0,0,1,0,354390,2062,"2342701","01","01","Cnpj",35,"02",13500970,0,0,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546","SP","Rio Claro","Centro","13500970","Rua 1 1171",-22.411184,-47.5573267,619.2,19,"3543907"
"65","23427",1,0,0,1,1,353870,2135,"2342702","01","01","Cnpj",35,"02",13425620,0,0,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Nova Pompéia","13425620","Avenida Pompéia",-22.7524717,-47.6112909,559.9,19,"3538709"
"66","23427",9,0,0,1,0,354670,2062,"2342701","01","01","Cnpj",35,"02",13510000,0,0,0,3546702,"SP","Piracicaba","Limeira","Santa Gertrudes","-22.4572","-47.5272","SP","Santa Gertrudes",NA,"13510000",NA,-22.4573223,-47.5325941,597.9,19,"3546702"
"67","23427",0,0,0,1,0,353870,2135,"2342702","01","01","Cnpj",35,"02",13405190,0,0,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Jardim Monumento","13405190","Rua Professor Leonel Faggin",-22.7342864,-47.6480644,530,19,"3538709"
"68","23427",0,0,0,1,1,354390,2135,"2342701","01","01","Cnpj",35,"02",13500270,0,0,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546","SP","Rio Claro","Vila do Rádio","13500270","Rua 14",-22.4149023,-47.5651394,616.6,19,"3543907"
"69","23427",9,0,0,1,0,354670,2062,"2342702","01","01","Cnpj",35,"02",13510000,0,0,0,3546702,"SP","Piracicaba","Limeira","Santa Gertrudes","-22.4572","-47.5272","SP","Santa Gertrudes",NA,"13510000",NA,-22.4573223,-47.5325941,597.9,19,"3546702"
"70","23427",0,0,0,1,0,353870,2135,"2342702","01","01","Cnpj",35,"02",13405190,0,0,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Jardim Monumento","13405190","Rua Professor Leonel Faggin",-22.7342864,-47.6480644,530,19,"3538709"
"71","23427",9,0,0,1,0,353870,2062,"2342702","01","01","Cnpj",35,"02",13423070,0,0,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Jardim Nova Iguaçu","13423070","Rodovia SP-308",-22.7453667,-47.5997768,596.5,19,"3538709"
"72","23427",9,0,0,1,0,354390,2062,"2342702","01","01","Cnpj",35,"02",13504800,0,0,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","23427",0,0,0,1,0,354390,2062,"2342701","01","01","Cnpj",35,"02",13504810,0,0,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546","SP","Rio Claro","Chácara Bom Retiro","13504810","Rodovia Washington Luiz",-22.4036677,-47.5852675,624.3,19,"3543907"
"74","23427",1,0,0,1,1,353870,2062,"2342702","01","01","Cnpj",35,"02",13401630,0,0,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Campestre","13401630","Avenida Laranjal Paulista",-22.8119233,-47.6901231,590.9,19,"3538709"
"75","23427",1,0,0,1,1,354390,2135,"2342702","01","01","Cnpj",35,"02",13500270,0,0,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546","SP","Rio Claro","Vila do Rádio","13500270","Rua 14",-22.4149023,-47.5651394,616.6,19,"3543907"
"76","23427",0,0,0,1,0,354670,2062,"2342701","01","01","Cnpj",35,"02",13510000,0,0,0,3546702,"SP","Piracicaba","Limeira","Santa Gertrudes","-22.4572","-47.5272","SP","Santa Gertrudes",NA,"13510000",NA,-22.4573223,-47.5325941,597.9,19,"3546702"
